 < 15:39:18 >  37,5578689575195 40 
 < 15:39:19 >  37,5868034362793 40 
 < 15:39:20 >  37,5868034362793 40 
 < 15:39:21 >  37,5868034362793 40 
 < 15:39:22 >  37,6157417297363 40 
 < 15:39:23 >  37,6446762084961 40 
 < 15:39:24 >  37,6736106872559 40 
 < 15:39:25 >  37,6736106872559 40 
 < 15:39:26 >  37,7025451660156 40 
 < 15:39:27 >  37,7025451660156 40 
 < 15:39:28 >  37,7314796447754 40 
 < 15:39:29 >  37,7604179382324 40 
 < 15:39:30 >  37,7604179382324 40 
 < 15:39:31 >  37,7893524169922 40 
 < 15:39:32 >  37,7893524169922 40 
 < 15:39:33 >  37,818286895752 40 
 < 15:39:34 >  37,818286895752 40 
 < 15:39:35 >  37,8472213745117 40 
 < 15:39:36 >  37,8472213745117 40 
 < 15:39:37 >  37,8761558532715 40 
 < 15:39:38 >  37,9050903320313 40 
 < 15:39:39 >  37,9050903320313 40 
 < 15:39:40 >  37,9340286254883 40 
 < 15:39:41 >  37,962963104248 40 
 < 15:39:42 >  37,962963104248 40 
 < 15:39:43 >  37,9918975830078 40 
 < 15:39:44 >  38,0208320617676 40 
 < 15:39:45 >  38,0497665405273 40 
 < 15:39:46 >  38,0497665405273 40 
 < 15:39:47 >  38,0787048339844 40 
 < 15:39:48 >  38,1076393127441 40 
 < 15:39:49 >  38,1076393127441 40 
 < 15:39:50 >  38,1365737915039 40 
 < 15:39:51 >  38,1365737915039 40 
 < 15:39:52 >  38,1655082702637 40 
 < 15:39:53 >  38,1944427490234 40 
 < 15:39:54 >  38,1944427490234 40 
 < 15:39:55 >  38,2233772277832 40 
 < 15:39:56 >  38,2233772277832 40 
 < 15:39:57 >  38,2523155212402 40 
 < 15:39:58 >  38,28125 40 
 < 15:39:59 >  38,28125 40 
 < 15:40:00 >  38,3101844787598 40 
 < 15:40:01 >  38,3391189575195 40 
 < 15:40:02 >  38,3391189575195 40 
 < 15:40:03 >  38,3680534362793 40 
 < 15:40:04 >  38,3680534362793 40 
